recency,frequency,monetary_value
2.208835341365462,-0.25,56.48953960993655
-0.3855421686746988,1.25,2.684261238412723
0.20080321285140562,0.5,0.8289974490455148
-0.2570281124497992,-0.25,0.7996928517899136
2.0883534136546187,-0.25,-0.251071511634346
-0.11244979919678715,1.5,1.352330745461996
1.2369477911646587,-0.25,-0.43225942210359614
1.461847389558233,-0.25,0.2989895857560018
1.3172690763052208,-0.25,-0.1587793811997239
-0.2248995983935743,0.25,1.5778114951694295
-0.13654618473895583,-0.25,4.085381295707678
-0.39357429718875503,0.0,0.36445054803067045
0.05622489959839357,0.5,4.207140457547466
0.01606425702811245,0.25,1.4675260909852739
1.9036144578313252,-0.25,-0.35776121441676917
-0.37751004016064255,2.0,3.3607477877576333
0.4738955823293173,0.0,-0.09040937097375584
-0.3453815261044177,0.5,0.47153895281657116
1.9357429718875503,0.0,-0.02441680602778366
-0.36947791164658633,-0.25,-0.3732662923297857
0.008032128514056224,0.5,2.1199428527128346
-0.04819277108433735,0.0,0.8959793856297461
0.1686746987951807,0.25,0.4604195969418079
2.0963855421686746,-0.25,-0.2287737329213413
-0.20080321285140562,-0.25,0.050561320737303385
-0.321285140562249,0.0,-0.16018222158233014
2.1285140562248994,0.0,0.7041298882526884
0.6345381526104418,-0.25,2.461741220249632
0.24899598393574296,0.0,0.13126894295977168
-0.23293172690763053,0.5,1.513856740463454
-0.36947791164658633,0.75,0.864489310725453
1.0763052208835342,0.75,0.8683655802037071
-0.17670682730923695,0.0,-0.06584489753727683
2.3052208835341363,0.0,-0.20123376119965009
-0.28112449799196787,1.0,1.5550928643416433
0.23293172690763053,-0.25,-0.0920041789876661
-0.23293172690763053,-0.25,-0.1576792590049432
0.17670682730923695,0.5,0.6705207860336164
0.10441767068273092,0.0,0.4415477021105364
-0.24899598393574296,2.5,1.7307949305778598
-0.12048192771084337,0.0,1.2813470221021195
-0.040160642570281124,-0.25,0.7096969495605049
0.5542168674698795,0.5,0.32058594427770337
2.032128514056225,-0.25,-0.43572960620793794
2.1927710843373496,-0.25,-0.33140258196464106
